Domanda,Risposta A,Risposta B,Risposta C,Argomento,Sottoargomento,Corretta
Gli autoservizi pubblici non di linea sono quelli che:,a) provvedono al solo  trasporto individuale di  persone,b) provvedono al solo  servizio collettivo di persone,c) provvedono sia al  trasporto individuale che  collettivo di persone,2,1,c
"Quale funzione svolgono gli autoservizi pubblici  non di linea rispetto ai trasporti pubblici di linea  ferroviari, automobilistici, marittimi, lacuali ed  aerei?",a) nessuna funzione,b) funzione complementare  e integrativa,c) funzione sostitutiva,2,1,b
Quale di queste caratteristiche riguardano gli  autoservizi pubblici non di linea?,"a) vengono effettuati a  richiesta in modo non  continuativo o periodico, su  itinerari e secondo orari  stabiliti di volta in volta","b) vengono effettuati in  modo continuativo o  periodico, su itinerari e orari  fissi",c) vengono effettuati solo su  richiesta della Prefettura in  caso di grave calamità o per  ragioni di pubblica utilità,2,1,a
Quale tra questi veicoli non può essere adibito a  servizio pubblico non di linea ai sensi della legge  15 gennaio 1992 n° 21?,a) motocarrozzetta,b) veicolo a trazione animale,c) autoambulanza,2,1,c
La legge 15 gennaio 1992 n. 21 è:,a) la legge quadro per il  trasporto di persone  mediante autoservizi  pubblici non di linea,b) la legge quadro sui   trasporti pubblici locali di  linea,c) la legge che riguarda  interventi in materia di  opere pubbliche,2,1,a
Dove sosta il taxi per svolgere il servizio?,a) in una autorimessa  situata nel Comune che ha  rilasciato la licenza,b) in luogo pubblico,c) esclusivamente su  marciapiedi appositamente  attrezzati,2,1,b
La prestazione del servizio taxi all'interno delle  aree comunali è obbligatoria?,a) si,b) no,c) solo in caso di pubblica  necessità,2,1,a
In quale caso può essere trasferita l'autorizzazione  per l'esercizio del servizio di noleggio con  conducente?,a) quando siano trascorsi 5  anni di titolarità,b) quando si è fratelli del  titolare defunto,c) sempre,2,1,a
Con quali procedure il Comune concede le licenze  per servizio taxi e  l'autorizzazione per il servizio di  noleggio con conducente?,a) in base all'ordine  cronologico di  presentazione delle  domande degli interessati,b) attraverso bando di  pubblico concorso,c) per sorteggio fra tutti i  richiedenti aventi diritto,2,1,b
Al titolare di licenza di taxi che abbia trasferito ad  altri tale titolo può essere attribuita una nuova  licenza per concorso pubblico:,a) no,b) si dopo cinque anni dal  trasferimento,c) si dopo sette anni dal  trasferimento,2,1,b
Il termine entro il quale i Comuni devono rendere  conformi i regolamenti comunali alle norme della  Legge 15 gennaio 1992 n. 21 è di:,a) diciotto mesi dalla  nomina dei sindaci,b) due anni dall'entrata in  vigore della Legge 15  gennaio 1992 n. 21,c) dodici mesi dalla  convocazione dei comizi  elettorali,2,1,b
"In relazione a quanto previsto dall'art. 24 della LR  6/2012,  chi disciplina, con regolamento, la  programmazione e l'esercizio del trasporto di  persone mediante servizi pubblici non di linea?","a) l'Università degli Studi di  Milano, su incarico della  Giunta Regionale",b) la Regione Lombardia,c) la Commissione  Provinciale per la  formulazione dei ruoli,2,2,b
"Ai sensi dell'art. 26 della LR 6/2012, a chi compete  valutare la regolarità delle domande presentate  per l'iscrizione al ruolo dei conducenti?",a) al Sindaco,b) alla commissione tecnica  provinciale,c) alla Giunta Regionale,2,2,b
"L'iscrizione al ruolo dei conducenti, di cui all'art. 25  della Legge Regionale 6/2012, è requisito  indispensabile per:",a) il rilascio della licenza per  l'esercizio del servizio taxi e  dell'autorizzazione per  l'esercizio del servizio  noleggio con conducente,b) l'abilitazione alla guida dei  motocicli,c) espletare l'attività di  responsabile di agenzia  turistica,2,2,a
Quanto tempo vale la Licenza e l'autorizzazione?,a) fino a quattro anni,b) è valida fino alla revoca o  decadenza pronunciata nei  casi di legge o regolamento,c) fino al trasferimento,2,2,b
"Ai sensi dell'art. 27 della LR 6/2012, la Regione  concede contributi in conto capitale a titolari di  licenze di taxi, singoli o associati, per:",a) incentivare l'uso dei taxi,b) sostenere il settore del  trasporto pubblico non di  linea,c) favorire il miglioramento  della qualità ambientale e  della sicurezza,2,2,c
E' possibile esercitare il servizio taxi mediante  natanti?,a) no,b) sì,"c) solo nel caso in cui il  natante sia adibito al  trasporto di meno di 6 unità,  conducente compreso",2,2,b
La predisposizione dei regolamenti sull'esercizio  dei servizi pubblici non di linea compete:,a) alle Regioni,b) alle Province,c) ai Comuni,2,2,c
"Il contingentamento delle licenze e autorizzazioni  che i singoli comuni possono rilasciare è  determinato, ai sensi dell'art. 24 della Legge  Regionale 6/2012:",a) dal Presidente del  Consiglio Regionale,b) dal Consiglio Regionale  della Lombardia sentite le  Province interessate,c) dalla Giunta Regionale  sentita apposita  Commissione Consultiva  istituita ai sensi dell'art. 4  della Legge 15 gennaio  1992 n. 21,2,2,c
Ai sensi della Legge Regionale 6/2012 il ruolo dei  conducenti di veicoli o natanti adibiti a servizi  pubblici non di linea è articolato nelle seguenti  sezioni:,"a) conducenti di autovetture,  di motocarrozzette, di  natanti, di veicoli a trazione  animale",b) conducenti di autobus di  linea,c) conducenti di taxi muniti  di radiotaxi,2,2,a
L'accertamento dell'iscrizione al ruolo provinciale  dei conducenti per il rilascio delle licenze e  autorizzazioni per l'esercizio del servizio pubblico  non di linea spetta ai sensi dell'art 25 della Legge  Regionale 6/2012:,a) alla Camera di  Commercio Industria  Artigianato e Agricoltura,b) all'Amministrazione  Comunale,c) alla Regione,2,2,b
Nel servizio di noleggio con conducente lo  stazionamento dei mezzi deve avvenire:,a) in qualsiasi luogo,b) all'interno delle rimesse o  presso i pontili di attracco,c) presso l'abitazione del  titolare della licenza,2,2,b
"L'iscrizione al ruolo dei conducenti, di cui all'art. 25  della Legge Regionale 6/2012, è requisito  indispensabile per:",a) l'abilitazione alla guida di  autobus di linea,b) il rilascio della licenza per  l'esercizio del servizio taxi e  dell'autorizzazione per  l'esercizio del servizio  noleggio con conducente,c) per espletare l'attività di  responsabile di agenzia di  viaggio,2,2,b
La sede del vettore del servizio di noleggio con  conducente e la rimessa devono essere situate:,a) esclusivamente nel  territorio regionale,b) esclusivamente nel  territorio del comune che ha  rilasciato l'autorizzazione,c) in qualsiasi luogo  pubblico,2,2,b
La sospensione della licenza per l'esercizio del  servizio taxi è disposta:,"a) dal Sindaco del Comune  che ha rilasciato la licenza,  sentita la commissione  consultiva comunale di cui  all'art. 4, comma 4, della  legge 21/1992",b) dal Presidente della  Regione,c) dal Presidente della  Provincia,2,2,a
La prova d'esame che sta sostenendo serve :,a) ad avere l'autorizzazione  alla guida di autobus in  servizio pubblico di linea,b) per l'iscrizione al ruolo dei  conducenti di veicoli o  natanti adibiti a servizi  pubblici non di linea,c) per essere assunto  presso la Camera di  Commercio Industria e  Artigianato,2,2,b
La Legge Regionale del 4 aprile 2012 n. 6  disciplina:,a) il servizio di noleggio  mediante autoambulanza,b) il servizio di radiotaxi,c) il trasporto di persone  mediante servizio taxi e  noleggio con conducente,2,2,c
Il servizio taxi può essere esercitato con l'utilizzo di  natanti?,a) si,b) no,c) solo nel caso in cui il  natante sia già in possesso  di autorizzazione per il  servizio di noleggio con  conducente,2,2,a
"L'avvenuta irrogazione di tre provvedimenti  sanzionatori per violazione delle disposizioni di cui  all'art. 24 lcomma 4 della Legge Regionale 6/2012   nell'arco di un quinquennio, comportano:",a) il ritiro della patente,b) la cancellazione dal ruolo  dei conducenti,c) la decadenza della  licenza per l'esercizio del  servizio taxi,2,2,c
"Il contingentamento delle licenze e autorizzazioni  che i singoli comuni possono rilasciare è  determinato, ai sensi dell'art. 24 della Legge  Regionale 6/2012:",a) dal Consiglio Regionale  della Lombardia sentiti i  Comuni interessati,b) dalla Giunta Regionale  sentita apposita  Commissione Consultiva  istituita ai sensi dell'art. 4  della Legge 15 gennaio 1992  n. 21,c) dal Presidente della  Giunta Regionale sentito il  parere della Commissione  Consiliare,2,2,b
Ai sensi della Legge Regionale 6/2012 il ruolo dei  conducenti di veicoli o natanti adibiti a servizi  pubblici non di linea è articolato nelle seguenti  sezioni:,a) conducenti di autovetture  e autoambulanze,"b) conducenti di autovetture,  di motocarrozzette, di  natanti, di veicoli a trazione  animale",c) conducenti di taxi e di  autovetture da noleggio,2,2,b
L'accertamento dell'iscrizione al ruolo provinciale  dei conducenti per il rilascio delle licenze e  autorizzazioni per l'esercizio del servizio pubblico  non di linea spetta ai sensi dell'art. 25 della Legge  Regionale 6/2012:,a) al Comune,b) alla Regione,c) alla Provincia,2,2,a
"Il possesso del certificato di abilitazione  professionale di cui al D.L. 285/92 è requisito  indispensabile, ai sensi della Legge Regionale  6/2012, per l'iscrizione:",a) al Ruolo provinciale dei  conducenti,"b) al Ruolo provinciale dei  conducenti, sezione  conducenti di natanti",c) all'apposita lista  comunale dei conducenti di  autovetture in attesa di  assegnazione di licenza,2,2,a
Per prestare l'attività di conducente di veicoli adibiti  a servizio pubblico non di linea é indispensabile il  possesso del requisito di professionalità?,a) sempre,b) solo se non si é  dipendenti,c) solo in mancanza di titolo  di studio idoneo,2,2,a
"Sono requisiti indispensabili per l'iscrizione a  Ruolo, ai sensi della Legge Regionale 6/2012:",a) l'assolvimento  dell'obbligo scolastico e il  possesso del CAP o della  patente nautica,b) l'assolvimento dell'obbligo  scolastico e il possesso di  idonea licenza rilasciata  dalla Regione Lombardia,c) il possesso della patente  D e del CAP,2,2,a
"Per prestare l'attività di conducente di veicoli adibiti  a servizio pubblico, non di linea è indispensabile  l'iscrizione a ruolo?",a) sempre,b) solo in caso di mancanza  del CAP,c) solo se non si è  dipendenti,2,2,a
La Commisssione Tecnica Provinciale per la  formulazione e la conservazione dei Ruoli dei  conducenti di cui all'art. 26 della Legge Regionale  6/2012 dura in carica:,a) due anni,b) cinque anni,c) quattro anni,2,2,c
"L'attestato comprovante l'importo della corsa,  relativamente al servizio taxi va rilasciato al  cliente:",a) obbligatoriamente,b) a richiesta,"c) obbligatoriamente solo in  caso di importo superiore a   €25,82",2,2,b
"L'art. 14 ""disposizioni particolari""  della Legge 15  gennaio 1992 n. 21 regolamenta tra l'altro:",a) le sanzioni amministrative  per l'inosservanza delle  tariffe del servizio taxi,b) l'accessibilità per i servizi  taxi e autonoleggio a tutti i  soggetti portatori di handicap,c) l'accesso al carico negli  scali aeroportuali,2,1,b
"Il titolare di licenza taxi può essere sostituito, ai  sensi dell'art. 10 della Legge 15 gennaio 1992 n.  21, per motivi di salute o inabilità temporanea:",a) da altro titolare di licenza  taxi di altro comune,b) da persone iscritte nel  ruolo di cui all'art. 6 della  Legge 15 gennaio 1992 n.  21,c) da persone designate dal  Prefetto,2,1,b
"Le autovetture adibite al servizio di noleggio con  conducente, secondo l'art. 12 comma 5° della  Legge 15 gennaio 1992 n. 21, portano, tra l'altro,  una targa:","a) inamovibile anteriore con  la dicitura ""N""","b) adesiva posteriore con la  dicitura ""NC""","c) posteriore inamovibile  recante la dicitura ""NCC""",2,1,c
"Ai sensi dell'art. 9 della Legge 15 gennaio 1992 n.  21, la licenza per l'esercizio del servizio taxi e  l'autorizzazione del servizio di autonoleggio con  conducente, sono trasferite su richiesta del  titolare, a persona dallo stesso designata, iscritta  al ruolo ed in possesso dei requisiti prescritti,  purché il titolare abbia, tra l'altro:",a) raggiunto il sessantesimo  anno d'età,b) raggiunto il  sessantacinquesimo anno  d'età,c) raggiunto il sessantesimo  anno d'età o almeno  trentacinque anni  d'esercizio dell'attività,2,1,a
"Entro quanto tempo, dall'entrata in vigore della  Legge 15 gennaio 1992 n. 21, i regolamenti  comunali per il servizio taxi e noleggio con  conducente sono resi conformi alla legge stessa in  base al secondo comma dell'art. 15 della  medesima legge?",a) entro un anno,b) entro tre anni,c) entro due anni,2,1,c
"I titolari di licenza taxi e di autorizzazione di  autonoleggio con conducente, al fine del libero  esercizio della propria attività, ai sensi dell'art. 7  della Legge 15 gennaio 1992 n. 21, possono:",a) associarsi in consorzio  tra imprese artigiane e in  tutte le altre forme previste  dalla legge,b) essere imprenditori privati  per svolgere esclusivamente  l'esercizio di taxi in due o più  comuni,c) essere imprenditori  pubblici,2,1,a
"La prestazione del servizio di noleggio con  conducente, come stabilito dall'art. 13 della Legge  15 gennaio 1992 n. 21, è:",a) obbligatoria,b) tassativa solo se richiesta  per motivi di estrema  necessità,c) non obbligatoria,2,1,c
"Ai sensi dell'art. 24 comma 1° della L.R 6/2012 ,  chi aggiorna i contingenti delle licenze taxi e le  autorizzazioni di autonoleggio con conducente  relative a ciascun bacino di traffico, in relazione al  mutamento di mobilità rilevato dal competente  organo",a) le aree metropolitane  competenti su segnalazione  dei singoli Comuni  interessati,b) il Commissario di  Governo per la Regione  Lombardia,c) la Giunta Regionale,2,2,c
L'iscrizione al ruolo provinciale per prestare  l'attività di conducente di veicoli o natanti adibiti a  servizi pubblici non di linea in qualità di sostituto  del titolare o dipendente dell'impresa é:,a) facoltativa,b) obbligatoria,c) necessaria se si esercita  l'attività per almeno 1 anno,2,2,b
La legge regionale 4 aprile 2012 n. 6 é:,a) la legge che disciplina il  settore dei trasporti in  Lombaria,b) la legge  per il trasporto di  persone mediante  autoservizi pubblici non di  linea,c) la legge che riguarda  interventi in materia di  opere pubbliche,2,2,a
"Ai sensi della legge regionale 6/2012, sono iscritti  nel ruolo dei conducenti:",a) i dipendenti d'impresa di  noleggio con conducente,b) coloro che sono in  possesso dei requisiti di  idoneità e professionalità di  cui all'art. 25 della LR 6/2012,"c)i titolari di licenza taxi e di  autorizzazione per il servizio  di noleggio, alla data di  entrata in vigore della legge  n. 21/1992",2,2,b
"La vigente Legge Regionale 4 aprile 2012 n. 6  ""Disciplina del settore dei trasporti"" è pubblicata:",a) sul BURL (Bollettino  Ufficiale della Regione  Lombardia),b) sui quotidiani locali della  Lombardia,c) sui principali quotidiani  economici nazionali,2,2,a
Quando è pronunciata la revoca delle licenze e  autorizzazioni?,a) qualora cessino i motivi di  opportunità o  sopravvengano gravi motivi  di interesse pubblico,b) per interruzione del  servizio per oltre 90 gg.,c) in caso di negligenza nel  prestare servizio,2,2,a
"Ai sensi dell'art. 26 della Legge Regionale 6/2012  comma 1° la  commissione tecnica provinciale  per  la formazione e la conservazione dei ruoli, è   composta, tra gli altri, da:",a) un rappresentante  designato dal  Compartimento della Polizia  Stradale della Lombardia,b) un rappresentante  designato dall'Arma dei  Carabinieri,c) un rappresentante  designato dalla Guardia di  Finanza,2,2,a
Quale organo istituzionale stabilisce le tariffe per il  servizio di taxi?,a) il Sindaco,b) la Giunta Municipale con  decreto,c) il Consiglio Comunale  con proprio atto deliberativo,2,3,c
Quali requisiti tecnici devono possedere le  autovetture munite di impianto radio-taxi?,a) impianti ed apparecchi  omologati e frequenze  assegnate a norma di legge,b) un apparecchio  elettromagnetico rilevatore di  frequenze,c) il cellulare collegato al  tassametro,2,3,a
A chi può essere consentito l'esercizio del servizio  con radiotaxi?,a) a dipendenti comunali,b) a soggetti associativi che  ne facciano richiesta,c) a singoli taxisti,2,3,b
Qual'è l'Ente Pubblico preposto alla tenuta e  conservazione del ruolo dei conducenti di veicoli o  natanti adibiti ad autoservizi pubblici non di linea?,a) Camera di Commercio,b) Dipartimento Trasporti  Terrestri,c) Provincia,2,3,a
Qual'è l'Ente Pubblico preposto al rilascio  dell'idoneità per l'iscrizione al ruolo dei conducenti  di veicoli o natanti adibiti ad autoservizi pubblici  non di linea?,a) Comune,b) Regione,c) Provincia,2,3,c
Quale requisito non risponde ad idoneità morale?,a) aver riportato condanne  irrevocabili per delitti non  colposi nella misura  superiore ai due anni,b) avere a carico  contravvenzioni non pagate,c) avere a carico sentenze  dichiarative di indegnità a  succedere,2,3,a
I tassisti legittimati a svolgere il servizio di taxi  presso gli aeroporti sono tenuti ad applicare le  tariffe:,a) determinate dal Comune  di appartenenza,b) determinate dalla Giunta  Regionale,c) contrattate direttamente  con l'utente,2,3,b
Di quale colore devono essere gli autoveicoli  adibiti al servizio taxi?,a) giallo,b) qualsiasi,c) bianco,2,3,c
Quale requisito non risponde ad idoneità  professionale?,a) non avere il C.A.P.,b) non avere l'autovettura da  adibire al servizio,c) non avere la patente di  guida,2,3,a
La Commssione Tecnica Provinciale per la  formulazione e la conservazione dei Rouli dei  conducenti é nominata:,a) con decreto del  Presidente della Regione,b) con decreto del Prefetto,c) con decreto del  Presidente della Provincia,2,3,c
Quale Ente pubblico regola la disciplina del  servizio taxi ed autonoleggio negli aeroporti  lombardi?,a) la Regione Lombardia,b) la Provincia di  competenza,c) il Consorzio tra i Comuni  sui quali ricade l'aeroporto,2,3,a
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto quello di:,a) effettuare il servizio di  trasporto di bambini non  accompagnati,"b) rilasciare ricevuta firmata  con i dati identificativi della  corsa, del conducente e del  cliente",c) tenere in ogni circostanza  un comportamento corretto  nei confronti di chiunque,3,1,c
"Al termine del servizio, il conducente della vettura  taxi deve:","a) aprire la portiera  dell'autovettura sul lato  scorrimento dei veicoli, ed  aiutare a scendere i  passeggeri",b) far prendere visione  all'utente del prezzo della  corsa e quindi azzerare il  tassametro,c) pretendere compensi  oltre al prezzo segnato sul  tassametro ed i supplementi  dovuti,3,1,b
L'attesa del servizio taxi avviene:,a) attraverso lo  stazionamento presso gli  alberghi scelti dal  conducente del veicolo ed  elencati sulla licenza,b) attraverso la sosta in  appositi posteggi istituiti  dall'Amministrazione  Comunale,c) attraverso lo  stazionamento in apposite  rimesse,3,1,b
L'attesa del servizio di noleggio avviene:,a) attraverso lo  stazionamento presso gli  alberghi scelti dal  conducente del veicolo ed  elencati sulla licenza:,b) attraverso la sosta in  appositi posteggi istituiti dall'  Amministrazione Comunale,c) attraverso lo  stazionamento in apposite  rimesse,3,1,c
I conducenti  di autoservizi pubblici non di linea  hanno l'obbligo:,a) di fumare in servizio,b) di vestire decorosamente,c) di allontanarsi dal veicolo  quando è in servizio,3,1,b
I conducenti  di autoservizi pubblici non di linea  hanno l'obbligo:,a) di essere provvisti di una  guida aggiornata delle vie e  piazze comprese nel  territorio comunale,b) di interrompere di propria  iniziativa il servizio quando si  venga richiesti per altro più  vantaggioso,c) di recapitare i bagagli  sulla soglia di casa  dell'utente,3,1,a
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,a) dialogare con l'utente,"b) ammettere  sull'autovettura persone  estranee a quelle che hanno  richiesto il servizio, se non  con il consenso di queste  ultime",c) avvertire  immediatamente l'utente dei  supplementi di tariffa  applicabili,3,1,b
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,"a) tenere sull'autovettura  persone, animali o cose che  non abbiano attinenza con il  servizio",b) tenere con gli utenti un  contegno corretto,c) seguire le indicazioni di  percorso fornite dall'utente,3,1,a
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,"a) interrompere il turno di  servizio o la corsa,  eccettuati i casi di forza  maggiore",b) svolgere il servizio assistiti  da altro conducente,c) percorrere senza  autorizzazione dell'utente le  strade statali,3,1,a
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) azionare il tassametro ed  assicurarsi che lo stesso  funzioni regolarmente,b) pulire accuratamente il  veicolo in ogni sua parte,c) richiamare l'attenzione  della vigilanza urbana per  verificare l'attendibilità  dell'utente,3,1,a
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) misurare la pressione dei  pneumatici,b) avvertire immediatamente  l'utente dell'avvicinarsi della  destinazione,c) avvertire  immediatamente l'utente dei  supplementi di tariffa  applicabili,3,1,c
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) segnalare  tempestivamente la svolta a  sinistra,b) aiutare a salire le persone  e caricare i bagagli di cui è  consentito il trasporto,c) azionare il segnalatore  acustico contestualmente  alla salita dell'utente,3,1,b
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno l'obbligo di:",a) sospendere la corsa solo  per consumare il pasto,b) mettere a disposizione  dell'utente la stampa  quotidiana,c) mantenere in funzione il  tassametro e controllare il  suo regolare funzionamento,3,1,c
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno l'obbligo di:",a) avvertire  immediatamente l'utente dei  supplementi di tariffa non  appena sorga il diritto di  applicarli,b) controllare la solvibilità  dell'utente,c) fermarsi a qualsiasi  richiesta di servizio sino  all'esaurimento dei posti  disponibili,3,1,a
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno l'obbligo di:",a) rimuovere i contrassegni  comunali di turno,b) far constatare all'utente il  limite del cambio di tariffa  per i percorsi extra urbani,c) informare l'utente sui  tempi di percorrenza,3,1,b
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:",a) ultimare la corsa anche  se nel frattempo è scaduto il  turno,b) prevedere l'importo  definitivo e contrattare con  l'utente il corrispettivo,c) concordare e  programmare con l'utente  più viaggi o percorsi,3,1,a
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:",a) verificare la consistenza  del bagaglio,b) pretendere il pagamento  anticipato della corsa  successiva,"c) far prendere visione  all'utente del prezzo della  corsa e, quindi, azzerare il  tassametro",3,1,c
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:","a) recapitare ad altro  indirizzo il bagaglio  dell'utente, con pagamento  anticipato della corsa",b) accertare che l'utente non  abbia smarrito alcun oggetto  all'interno dell'autovettura,c) appropriarsi di qualsiasi  oggetto smarrito all'interno  dell'autovettura,3,1,b
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) effettuare il servizio di  trasporto di bambini non  accompagnati,b) rilasciare ricevuta firmata  con i dati identificativi della  corsa e del conducente,c) tenere un  comportamento corretto nei  confronti dei passeggeri  trasportati,3,2,c
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) sospendere  immediatamente il servizio  in caso di guasto al veicolo,"b) nel caso di rinvenimento  di qualsiasi oggetto smarrito,  aprire una ricerca per  riconsegnare l'oggetto al  legittimo proprietario",c) interrompere di propria  iniziativa il servizio quando  si venga richiesti per altro  più vantaggioso,3,2,a
I conducenti di vetture taxi non possono:,a) pretendere compensi  oltre il prezzo segnato sul  tassametro ed i supplementi  dovuti,b) sostare in attesa dei  clienti nei posteggi taxi,c) vestire con decoro,3,2,a
"Al termine del servizio, il conducente della vettura  taxi deve:","a) aprire la portiera  dell'autovettura, sul lato  scorrimento dei veicoli, ed  aiutare a scendere i  passeggeri",b) far prendere visione  all'utente del prezzo della  corsa e quindi azzerare il  tassametro,c) pretendere compensi  oltre al prezzo segnato sul  tassametro ed i supplementi  dovuti,3,2,b
L'attesa del servizio taxi avviene:,a) attraverso lo  stazionamento presso gli  alberghi scelti dal  conducente del veicolo ed  elencati sulla licenza,b) attraverso la sosta in  appositi posteggi assegnati,c) attraverso lo  stazionamento in apposite  rimesse,3,2,b
Ai conducenti dei servizi taxi e/o autonoleggio è  vietato:,a) accettare utenti tra i  passeggeri in attesa presso  la stazione,b) chiedere il pagamento  dell'importo del servizio  prestato,c) adibire il veicolo a servizi  su itinerari fissi con orari e  tariffe prestabilite,3,2,c
I conducenti di autovetture da piazza hanno  l'obbligo:,a) di fumare in servizio,"b) di rilasciare, a richiesta  del cliente, una ricevuta  attestante l'importo della  corsa",c) di allontanarsi dal veicolo  quando è in servizio,3,2,b
Ai conducenti dei taxi e delle vetture da noleggio è  vietato:,a) dialogare con l'utente,b) ammettere  sull'autovettura persone  estranee a quelle che hanno  richiesto il servizio,c) avvertire  immediatamente l'utente dei  supplementi di tariffa  applicabili,3,2,b
Ai conducenti degli autoservizi pubblici non di linea  è vietato:,a) tenere sull'autovettura  cani propri,b) tenere con gli utenti un  contegno corretto,c) seguire le indicazioni di  percorso fornite dall'utente,3,2,a
Ai conducenti delle autopubbliche è vietato:,a) controllare il regolare  funzionamento del  tassametro e/o del  contachilometri,b) verificare con attenzione i  consumi di carburante al fine  di limitare i danni ecologici  indotti,c) adibire l'autovettura alla  vendita od al trasporto di  masserizie ingombranti,3,2,c
Ai conducenti delle autopubbliche è vietato:,a) interrompere  spontaneamente il turno di  servizio o la corsa eccettuati  i casi di forza maggiore,b) sostituire la ruota in caso  di foratura,c) percorrere senza  autorizzazione dell'utente le  strade statali,3,2,a
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) azionare il tassametro ed  assicurarsi che lo stesso  funzioni regolarmente,b) pulire accuratamente il  veicolo in ogni sua parte,c) richiamare l'attenzione  della vigilanza urbana per  verificare l'attendibilità  dell'utente,3,2,a
I conducenti di taxi hanno l'obbligo di:,a) misurare la pressione dei  pneumatici prima di ogni  servizio,b) avvertire immediatamente  l'utente dell'avvicinarsi della  destinazione,c) avere a bordo del veicolo  la licenza comunale ed i  documenti di circolazione,3,2,c
"I conducenti di taxi, all'inizio della corsa hanno  l'obbligo di:",a) segnalare  tempestivamente la svolta a  sinistra,b) caricare i bagagli di cui è  consentito il trasporto senza  deteriorare il veicolo,c) azionare il segnalatore  acustico contestualmente  alla salita dell'utente,3,2,b
I conducenti di taxi hanno l'obbligo di:,a) sospendere la corsa solo  per consumare il pasto,b) mettere a disposizione  dell'utente la stampa  quotidiana,"c) applicare il cartello di  ""fuori servizio"" al termine di  ciascun turno e quando la  vettura è usata per scopi  familiari",3,2,c
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno il divieto di:",a) mangiare e tenere la  radio ad alto volume,"b) mangiare e fumare, se  tale divieto è imposto  dall'utente",c) dialogare con l'utente,3,2,a
"I conducenti di taxi, durante l'effettuazione della  corsa, hanno l'obbligo di:","a) prodigarsi per portare a  destinazione l'utente, anche  se il veicolo si guasta",b) prevedere l'importo  definitivo e contrattare con  l'utente il corrispettivo,c) concordare e  programmare in accordo  con l'utente più viaggi o  percorsi,3,2,a
"I conducenti di taxi, durante il servizio, hanno  l'obbligo di:",a) verificare la consistenza  del bagaglio,b) pretendere il pagamento  anticipato della corsa  successiva,c) essere sempre muniti di  una congrua quantità di  moneta spicciola per essere  in grado di corrispondere al  cliente il resto,3,2,c
I conducenti di taxi hanno l'obbligo di:,a) disimpegnare il servizio  con ogni decoro,b) acquisire un'altra corsa  attraverso l'utilizzo del  telefono cellulare,c) perquisire con attenzione  i bagagli,3,2,a
"I conducenti di taxi, al termine della corsa, hanno  l'obbligo di:","a) recapitare ad altro  indirizzo il bagaglio  dell'utente, con pagamento  della corsa anticipato",b) accertare che l'utente non  abbia smarrito alcun oggetto  all'interno dell'autovettura,c) appropriarsi di qualsiasi  oggetto smarrito all'interno  dell'autovettura,3,2,b
Tra i doveri prescritti per i conducenti di vetture da  piazza è previsto:,a) effettuare il servizio di  trasporto di bambini non  accompagnati,b) rilasciare ricevuta firmata  con i dati identificativi della  corsa e del conducente,c) tenere sempre un  contegno corretto sia con il  pubblico che con i colleghi,3,3,c
Tra i doveri prescritti per i conducenti di vetture da  piazza:,"a) compiere il percorso più  breve per raggiungere la  destinazione richiesta e,  comnunque, il percorso  indicato dall'utente","b) nel caso di rinvenimento  di qualsiasi oggetto smarrito,  aprire una ricerca per  riconsegnare l'oggetto al  legittimo proprietario",c) interrompere di propria  iniziativa il servizio quando  si venga richiesti per altro  più vantaggioso,3,3,a
I conducenti di vetture taxi non possono:,a) pretendere compensi  oltre il prezzo segnato sul  tassametro ed i supplementi  dovuti,b) sostare in attesa dei  clienti nei posteggi taxi,c) vestire decorosamente,3,3,a
Ai conducenti dei taxi è vietato:,"a) accettare il pagamento di  supplementi oltre il prezzo  della corsa, quando sono  dovuti",b) fare servizio senza avere  azionato il tassametro,c) interrompere il lavoro a  fine turno di servizio,3,3,b
Al conducente taxi in servizio è vietato:,a) accettare utenti tra i  passeggeri in attesa presso  la stazione,b) chiedere l'importo  segnato dal tassametro a  fine corsa,c) allontanarsi  dall'autoveicolo in sosta in  attesa di passeggeri,3,3,c
I conducenti di autovetture da piazza hanno  l'obbligo:,a) di essere provvisti di una  guida aggiornata delle vie e  piazze comprese nel  territorio comunale,b) interrompere di propria  iniziativa il servizio quando si  venga richiesti per altro più  vantaggioso,c) recapitare i bagagli sulla  soglia di casa dell'utente,3,3,a
